Body_Name ,Date,Transaction_Number,Amount,Supplier_Name,Supplier_ID,Expense_Area,Expense_Type,Expense_Code,Extended_Description,Service_Code,Service_Label,Service Division Label,Service Division Code
West Wickham District Council,21/04/2017,156762,12181,HESKET PARISH COUNCIL,HES001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7162,Hesket
West Wickham District Council,18/04/2017,156763,4846,HUNSONBY COMMUNITY CENTRE,HUN001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7163,Hunsonby
West Wickham District Council,21/04/2017,156764,1500,HUTTON PARISH COUNCIL,HUT001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7164,Hutton
West Wickham District Council,21/04/2017,156765,1617,KABER PARISH COUNCIL,KAB001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7118,Kaber
West Wickham District Council,21/04/2017,156766,59615,KIRKBY STEPHEN TOWN COUNCIL,KIR014,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7120,Kirkby Stephen
West Wickham District Council,21/04/2017,156767,12580,KIRKBY THORE PARISH COUNCIL,KIR009,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7121,Kirkby Thore
West Wickham District Council,21/04/2017,156768,12341,KIRKOSWALD PARISH COUNCIL,KIR006,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7165,Kirkoswald
West Wickham District Council,21/04/2017,156769,15159,LANGWATHBY PARISH COUNCIL,LAN001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7166,Langwathby
West Wickham District Council,21/04/2017,156770,10350,LAZONBY PARISH COUNCIL,LAZ002,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7167,Lazonby
West Wickham District Council,21/04/2017,156771,508,LITTLE STRICKLAND PARISH MEETING,LIT001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7141,Little Strickland
West Wickham District Council,21/04/2017,156773,5032,LONG MARTON PARISH COUNCIL,LON001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7122,Long Marton
West Wickham District Council,21/04/2017,156774,3161,LOWTHER PARISH COUNCIL,LOW005,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7123,Lowther
West Wickham District Council,21/04/2017,156775,541,MALLERSTANG PARISH MEETING,MAL001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7124,Mallerstang
West Wickham District Council,21/04/2017,156776,4024,MATTERDALE PARISH COUNCIL,MAT002,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7168,Matterdale
West Wickham District Council,21/04/2017,156777,2564,MILBURN PARISH COUNCIL,MIL002,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7126,Milburn
West Wickham District Council,21/04/2017,156778,6600,MORLAND PARISH COUNCIL,MOR001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7127,Morland
West Wickham District Council,21/04/2017,156779,4850,MUNGRISDALE PARISH COUNCIL,MUN002,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7169,Mungrisedale
West Wickham District Council,21/04/2017,156780,3866,MURTON PARISH COUNCIL,MUR002,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7128,Murton
West Wickham District Council,21/04/2017,156781,3000,MUSGRAVE PARISH COUNCIL,MUS002,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7129,Musgrave
West Wickham District Council,21/04/2017,156782,959,NATEBY PARISH MEETING,NAT003,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7130,Nateby
West Wickham District Council,21/04/2017,156783,965,NEWBIGGIN PARISH MEETING,NEW004,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7131,Newbiggin
West Wickham District Council,21/04/2017,156784,700,NEWBY PARISH MEETING,NEW003,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7132,Newby
West Wickham District Council,21/04/2017,156785,17142,ORTON PARISH COUNCIL,ORT003,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7133,Orton
West Wickham District Council,21/04/2017,156786,9000,OUSBY PARISH COUNCIL,OUS003,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7170,Ousby
West Wickham District Council,21/04/2017,156787,5543,PATTERDALE PARISH COUNCIL,PAT002,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7153,Patterdale
West Wickham District Council,21/04/2017,156788,379176,PENRITH TOWN COUNCIL,PEN080,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,CTREFU,Council Tax Refunds,7076,Penrith
West Wickham District Council,21/04/2017,156789,21904,RAVENSTONEDALE PARISH COUNCIL,RAV001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7134,Ravestonedale
West Wickham District Council,21/04/2017,156790,21888,SHAP PARISH COUNCIL,SHA008,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7135,Shap
West Wickham District Council,21/04/2017,156792,5013,SOCKBRIDGE & TIRRIL PARISH COUNCIL,SOC001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7137,Sockbridge & Tirril
West Wickham District Council,21/04/2017,156793,3039,SOULBY PARISH COUNCIL,SOU003,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7138,Soulby
West Wickham District Council,21/04/2017,156794,11500,TEBAY PARISH COUNCIL,TEB001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7142,Tebay
West Wickham District Council,21/04/2017,156803,7542,TEMPLE SOWERBY PARISH COUNCIL,TEM001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7143,Temple Sowerby
West Wickham District Council,21/04/2017,156804,9081,THRELKELD PARISH COUNCIL,THR002,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7172,Threlkeld
West Wickham District Council,21/04/2017,156806,5350,WARCOP PARISH COUNCIL,WAR001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7146,Warcop
West Wickham District Council,21/04/2017,156808,2400,WINTON PARISH MEETING,WIN002,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7149,Winton
West Wickham District Council,21/04/2017,156809,3689,YANWATH AND EAMONT BRIDGE PARISH COUNCIL,YAN001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7150,Yanwath & Eamont Bridge
West Wickham District Council,21/04/2017,156810,13609,SKELTON PARISH COUNCIL,SKE001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 PARISH PRECEPT,PARPRE,Parish Precept,7171,Skelton
West Wickham District Council,21/04/2017,156676,1490,MEDIA FRIENDLY LTD,MED006,Legal Services Manager,Printing and stationary,2037,MEDIA TRAINING 15.03.17,COMMSV,Communications Services,1055,Communications
West Wickham District Council,21/04/2017,156556,839,CONCEPT GROUP LIMITED,CON006,Information Technology Manager,Printers Contract,2059,TONERS,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,21/04/2017,156597,2266.05,HEATONS OFFICE SOLUTIONS LTD,LAK004,Environmental Services,CLG Grant Expenditure,2157,STATIONERY/PAPER,HOMLES,Homelessness,2296,Homelessness Grant Fund
West Wickham District Council,21/04/2017,156665,1365.31,Redacted Infromation,SCO022,Finance Director,Grants and contributions,2079,PLFRG EDC16418,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,21/04/2017,156667,720.6,AMEY PLC,TFE001,Technical Services Manager,Grounds Maint Contract additional works,1001,GM107,CEMETE,Cemeteries,2226,Cemeteries
West Wickham District Council,21/04/2017,156672,682.5,ALSTON TOWN HALL TRUSTEES,ALS003,Technical Services Manager,Alston Info Centre Cleaning to Recharge,1062,CLEANING/MAINT 02.12.16-24.02.17 2 WEEKS,COMDEV,Community Development & Engagement,2064,Alston Council Centre - Building
West Wickham District Council,21/04/2017,156675,2412,Redacted Infromation,ROD007,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16301,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,21/04/2017,156684,1924,NORTH KESTEVEN DISTRICT COUNCIL,NOR002,Commercial Services Manager,Grants and contributions,2079,RURAL NETWORK SERVICE CHARGE 17/18,COMDEV,Community Development & Engagement,1066,SPARSE
West Wickham District Council,21/04/2017,156686,2345.48,PRINT IMAGE NETWORK LTD,PRI011,Information Technology Manager,Balance Sheet entry BS,6003,2017 COUNTY COUNCIL POLL CARDS,HOLD A/C'S,Holding Accounts,10305,Cumbria CC Elections
West Wickham District Council,21/04/2017,156687,1345,DOLPHIN MOBILITY YORKSHIRE & CUMBRIA LTD,DOL001,Environmental Services,Capital grants,5505,INTERIM PAYMENT  PENRITH,MEREGR,1996 Mandatory Renovation Grants,6035,Disabled Facility Grants
West Wickham District Council,21/04/2017,156801,5000,Redacted Infromation,SIM018,Finance Director,Grants and contributions,2079,PLFRGRANT EDC 16174,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,21/04/2017,156885,5223.1,LOCAL GOVERNMENT ASSOCIATION,LOC005,Legal Services Manager,Subscriptions & levies,2078,LGA SUB 2017/18,CORPOR,Corporate Costs,1083,L G A
West Wickham District Council,21/04/2017,156420,2360,TIAA LTD,TIA001,Finance Director,Professional fees,2045,INTERNAL AUDIT SERVICE COUNCIL TAX,DIRFIN,Finance Director,100,Finance Director / Secretary
West Wickham District Council,21/04/2017,156564,8260,TIAA LTD,TIA001,Finance Director,Professional fees,2045,INTERNAL AUDIT HB/BR,DIRFIN,Finance Director,100,Finance Director / Secretary
West Wickham District Council,21/04/2017,156574,2767.5,Konica Minolta Business Solutions UK Limited,KON003,Information Technology Manager,Printers Contract,2059,copy/print costs,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,21/04/2017,156594,1744.98,R BRENNAND ENGINEERING LIMITED,BRE004,Technical Services Manager,Rent,1028,RENT & MAINT 2017,ADMBLD,Administrative Buildings,504,Kirkby Thore Store
West Wickham District Council,21/04/2017,156596,2774.59,VODAFONE LTD,VOD003,Information Technology Manager,Government Connect,2183,SERVICES,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,21/04/2017,156606,964,Redacted Infromation,SCO020,Finance Director,Grants and contributions,2079,PLFRG EDC  16023,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,21/04/2017,156612,5834.33,E.ON UK PLC,EON001,Technical Services Manager,Electricity,1022,STREET LIGHTING MARCH 17,FOOLIG,Footway Lighting,2258,Footway lighting
West Wickham District Council,21/04/2017,156613,550,TESGL LTD,NOB001,Technical Services Manager,Mechanical & electrical maintenance,1014,TOWN HALL/MANSION HOUSE CONTRACT,ADMBLD,Administrative Buildings,502,Mansion House
West Wickham District Council,21/04/2017,156622,508.76,VODAFONE LTD FORMERLY CABLE & WIRELESS UK,CAB001,Information Technology Manager,Telephone,2055,RENTAL & OTHER CHARGES,CENTRA,Central Expenses,104,Telephones
West Wickham District Council,21/04/2017,156625,814.43,NPOWER LTD,NPO001,Technical Services Manager,Electricity,1022,ELECTRIC MANSION HOUSE MARCH 17,ADMBLD,Administrative Buildings,502,Mansion House
West Wickham District Council,21/04/2017,156628,521.1,ROCKSURE SYSTEMS LTD,ROC005,Technical Services Manager,Other charges for services,2047,PEOPLESAFE SERVICES,CENTRA,Central Expenses,212,Health & Safety
West Wickham District Council,18/04/2017,156912,-4846,HUNSONBY COMMUNITY CENTRE,HUN001,Revenue/Benefits Manager,Unique payments ****,6006,17-18 Parish Precept,PARPRE,Parish Precept,7163,Hunsonby
West Wickham District Council,21/04/2017,156913,4846,HUNSONBY PARISH COUNCIL,HUN002,Revenue/Benefits Manager,Unique payments ****,6006,17-18 Parish Precept,PARPRE,Parish Precept,7163,Hunsonby
West Wickham District Council,28/04/2017,156911,545,LOCAL GOVERNMENT ASSOCIATION,LOC005,HR,Training Expenses,60,LGA ANNUAL CONFERENCE 4-6 JULY 2017 M NEAL,STADEV,Staff Development,223,Staff Training DoG
West Wickham District Council,21/04/2017,156888,5600,RIVER VALLEY ROOFING LTD,RIV005,Environmental Services,Decent Homes Grants,5524,160032/18,DIREGR,1996 Discretionary Renovation Grants,6034,1996 Discretionary Renovation Grants
West Wickham District Council,28/04/2017,156963,1000,FLORENCE MADDEN ASSOCIATES,FLO004,HR,Training Expenses,60,NLP BUSINESS PRACTIONER COURSE,STADEV,Staff Development,225,Staff Training Communities
West Wickham District Council,28/04/2017,156910,3301.2,SOCIALSIGNIN LTD,SOC008,Legal Services Manager,Social Media,2246,USER ACCESS SOCIAL SIGNIN 17/18,COMMSV,Communications Services,1055,Communications
West Wickham District Council,28/04/2017,156677,555,LAMBERT SMITH HAMPTON,LAM009,Environmental Services,Professional fees,2045,PROFESSIONAL CHARGES,OHOUSG,Housing Delivery,2383,Affordable Housing Fund Revenue
West Wickham District Council,28/04/2017,156800,19070.24,CUMBRIA WASTE RECYCLING LTD,CUM022,Technical Services Manager,Recycling - Bag & Box,3600,GB-12-16/17,RECYCL,Recycling,3047,Recycling
West Wickham District Council,28/04/2017,156802,21307.06,CUMBRIA WASTE RECYCLING LTD,CUM022,Technical Services Manager,Recycling - Garden Waste,3602,GW-12-16/17,RECYCL,Recycling,3047,Recycling
West Wickham District Council,28/04/2017,156813,4800,Redacted Infromation,MCA002,Finance Director,Grants and contributions,2079,PLFRGRANT EDC 16172/73,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,28/04/2017,156886,4100,Redacted Infromation,WEL006,Finance Director,Grants and contributions,2079,PLFRG EDC16001 2ND PAY,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,28/04/2017,156887,2588,Redacted Infromation,ROD007,Finance Director,Grants and contributions,2079,PLFRG EDC16301 2ND PAY,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,28/04/2017,156891,3710.64,AMEY PLC,TFE001,Technical Services Manager,Grounds Maint Contract additional works,1001,GM106,CEMETE,Cemeteries,2226,Cemeteries
West Wickham District Council,28/04/2017,156894,7306.3,CUMBRIA WASTE RECYCLING LTD,CUM022,Technical Services Manager,Recycling  - Bring Sites,3601,BS-55,RECYCL,Recycling,3047,Recycling
West Wickham District Council,28/04/2017,156904,2376.84,CUMBRIA WASTE RECYCLING LTD,CUM022,Technical Services Manager,material price fluctuations,3604,BS-F-32-16/17,RECYCL,Recycling,3047,Recycling
West Wickham District Council,28/04/2017,156905,1260.77,CUMBRIA WASTE RECYCLING LTD,CUM022,Technical Services Manager,material price fluctuations,3604,F-12-16/17,RECYCL,Recycling,3047,Recycling
West Wickham District Council,28/04/2017,156906,5000,Redacted Infromation,HEN007,Finance Director,Grants and contributions,2079,PLFRGRANR EDC16289,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,28/04/2017,156909,5000,Redacted Infromation,TUE002,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16125,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,28/04/2017,156916,2326.5,ANTHONY COLLINS SOLICITORS LLP,ANT007,Legal Services Manager,Professional fees,2045,GENERAL ADVICE,LEGSER,Legal Services,201,Legal & Committee
West Wickham District Council,28/04/2017,156924,3147.6,Redacted Infromation,LEG003,Finance Director,Grants and contributions,2079,PLFRG EDC16218,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,28/04/2017,156926,5000,Redacted Infromation,DUN007,Finance Director,Grants and contributions,2079,PLFRG EDC16268,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,28/04/2017,156927,4814.4,Redacted Infromation,RIS003,Finance Director,Grants and contributions,2079,PLFRG EDC16309,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,28/04/2017,156928,5000,Redacted Infromation,BRA039,Finance Director,Grants and contributions,2079,PLFRG EDC16263,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,28/04/2017,156929,5000,Redacted Infromation,SIM018,Finance Director,Grants and contributions,2079,PLFRG EDC16174 2ND PAY,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,28/04/2017,156934,1090.62,NPOWER LTD,NPO001,Technical Services Manager,Electricity,1022,TOWN HALL,ADMBLD,Administrative Buildings,500,Town Hall
West Wickham District Council,28/04/2017,156940,768.15,NPOWER LTD,NPO001,Commercial Services Manager,Electricity,1022,PENRITH TIC,MUSEUM,Museum,2090,Penrith Museum
West Wickham District Council,28/04/2017,156957,2750,RSM UK TAX AND ACCOUNTING LTD,BAK009,Finance,Professional fees,2045,ANNUAL FEE 2017/18,FINSER,Financial Services,101,Financial Services
West Wickham District Council,28/04/2017,157011,12000,AINSTABLE PARISH COUNCIL,AIN002,Revenue/Benefits Manager,Unique payments ****,6006,PARISH PRECEPT & CTRS GRANT,PARPRE,Parish Precept,7154,Ainstable
West Wickham District Council,20/04/2017,157200,1142,BUSY BEES CHILDCARE VOUCHERS,BUS004,Commercial Services Manager,Child Care Voucher Scheme,5,CHILDCARE VOUCHERS APRIL 17 DDR,COMSER,Commercial Services,310,Commercial Services
West Wickham District Council,05/05/2017,157123,5886.83,AMEY PLC,TFE001,Legal Services Manager,Dilapidations,8520,REPLACE ROOFLIGHTS INTERNAL DECORATION,INDEST,Industrial Estates,2042,Gilwilly Unit 27
West Wickham District Council,05/05/2017,157139,2800,West Wickham FM RADIO LTD,EDE060,Legal Services Manager,Communications Contracts,2247,CAMPAIGN MAY 17 -APR 18,COMMSV,Communications Services,1055,Communications
West Wickham District Council,28/04/2017,165567,106500,LGPS,LGP001,Finance,Additional Pensions,30,Additional Employers Superannuation Cont,CORPOR,Corporate Costs,1179,Additional Employers Superannuation Cont
